                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1579,                0.63377,                 1.1109,                0.86995,                0.81374,                0.89203,                0.51775,                 1.4725,                0.70427,                 1.3334,               0.006634,               0.006634,               0.006634
                     36,                 1.1488,                0.62319,                 1.1073,                0.87131,                0.81091,                0.88973,                0.52049,                 1.4629,                0.70971,                 1.3406,               0.006535,               0.006535,               0.006535
                     37,                 1.1262,                0.60863,                 1.1045,                0.88149,                0.80264,                0.89361,                0.52492,                 1.4522,                0.71497,                 1.3295,               0.006436,               0.006436,               0.006436
                     38,                 1.1251,                0.61369,                 1.0985,                0.87485,                0.81657,                0.89304,                 0.5239,                 1.4648,                0.71206,                 1.3409,               0.006337,               0.006337,               0.006337
                     39,                 1.1245,                0.60965,                 1.0915,                0.88837,                 0.8017,                0.89527,                0.52741,                 1.4544,                0.69999,                 1.3262,               0.006238,               0.006238,               0.006238
                     40,                 1.1015,                0.59656,                 1.0838,                0.86835,                0.82059,                0.89463,                 0.5197,                 1.4659,                0.70265,                 1.3357,               0.006139,               0.006139,               0.006139
                     41,                 1.0995,                 0.5934,                 1.0833,                0.86858,                0.81442,                0.89406,                0.52268,                 1.4583,                0.70294,                 1.3413,                0.00604,                0.00604,                0.00604
                     42,                 1.0902,                0.58317,                 1.0784,                0.87082,                0.81642,                 0.8954,                0.52852,                 1.4554,                0.69652,                 1.3326,               0.005941,               0.005941,               0.005941
                     43,                 1.0852,                0.57655,                 1.0702,                0.88096,                0.80524,                0.89566,                0.53293,                 1.4416,                0.68291,                 1.3181,               0.005842,               0.005842,               0.005842
                     44,                 1.0773,                 0.5739,                 1.0732,                0.89048,                0.80038,                0.89783,                0.52865,                 1.4582,                0.68732,                 1.3316,               0.005743,               0.005743,               0.005743
                     45,                 1.0642,                0.56836,                   1.07,                0.87499,                0.82123,                0.89792,                0.52805,                 1.4567,                0.69384,                 1.3351,               0.005644,               0.005644,               0.005644
                     46,                 1.0629,                0.56218,                 1.0585,                0.87926,                0.81487,                0.89784,                0.53382,                 1.4466,                0.69114,                   1.33,               0.005545,               0.005545,               0.005545
                     47,                 1.0563,                0.55819,                 1.0661,                0.87621,                0.81893,                0.89803,                0.52794,                 1.4532,                0.69968,                 1.3476,               0.005446,               0.005446,               0.005446
                     48,                 1.0411,                0.54475,                 1.0567,                0.87283,                 0.8305,                0.89887,                0.53078,                 1.4489,                0.67319,                 1.3418,               0.005347,               0.005347,               0.005347
                     49,                 1.0287,                0.53928,                 1.0531,                0.86565,                0.83357,                0.90499,                0.53978,                 1.4386,                0.67649,                 1.3427,               0.005248,               0.005248,               0.005248
                     50,                 1.0293,                0.54719,                 1.0448,                0.88594,                0.81043,                0.89574,                0.52748,                 1.4643,                0.69231,                 1.3405,               0.005149,               0.005149,               0.005149
                     51,                 1.0238,                0.53463,                 1.0414,                0.87079,                0.83074,                0.89662,                0.53314,                 1.4374,                0.67538,                 1.3351,                0.00505,                0.00505,                0.00505
                     52,                 1.0175,                0.53098,                 1.0459,                 0.8833,                0.81662,                0.89875,                0.52975,                 1.4624,                0.67789,                 1.3509,               0.004951,               0.004951,               0.004951
                     53,                0.98857,                0.51599,                 1.0325,                0.88343,                0.80713,                 0.8978,                0.53309,                 1.4508,                0.68253,                 1.3505,               0.004852,               0.004852,               0.004852
                     54,                0.99613,                0.52016,                 1.0329,                0.87783,                0.82435,                0.90308,                0.53273,                 1.4649,                 0.6754,                  1.363,               0.004753,               0.004753,               0.004753
                     55,                0.98271,                0.50916,                 1.0316,                0.86786,                0.82798,                0.89535,                 0.5254,                 1.4712,                0.68127,                 1.3751,               0.004654,               0.004654,               0.004654
                     56,                0.97467,                0.50609,                 1.0238,                0.87966,                0.81327,                0.89042,                0.53037,                 1.4518,                0.68744,                 1.3633,               0.004555,               0.004555,               0.004555
                     57,                0.96607,                 0.5005,                 1.0229,                0.86365,                0.82342,                0.89137,                0.53018,                 1.4656,                0.69853,                 1.3743,               0.004456,               0.004456,               0.004456
                     58,                0.95662,                0.49661,                 1.0168,                0.86087,                0.83192,                0.89505,                0.52744,                 1.4711,                 0.6901,                 1.3732,               0.004357,               0.004357,               0.004357
                     59,                0.96011,                0.49312,                 1.0146,                0.86611,                0.81964,                0.89345,                 0.5267,                 1.4755,                0.69649,                 1.3808,               0.004258,               0.004258,               0.004258
                     60,                0.94476,                0.48592,                 1.0152,                0.88467,                0.81122,                0.89651,                0.53392,                 1.4603,                0.69252,                 1.3694,               0.004159,               0.004159,               0.004159
                     61,                0.92901,                0.47835,                 1.0046,                0.88216,                0.81704,                 0.8932,                0.53203,                   1.47,                0.69926,                 1.3839,                0.00406,                0.00406,                0.00406
                     62,                0.92912,                0.47866,                 1.0042,                0.87302,                0.81803,                0.89266,                 0.5334,                 1.4554,                0.69648,                   1.38,               0.003961,               0.003961,               0.003961
                     63,                0.92165,                0.47658,                 1.0034,                0.87286,                0.82059,                0.89339,                0.53042,                  1.455,                0.69025,                 1.3739,               0.003862,               0.003862,               0.003862
                     64,                0.91985,                0.47592,                 1.0009,                0.88354,                0.80973,                0.89181,                0.52986,                 1.4701,                0.69596,                 1.3881,               0.003763,               0.003763,               0.003763
                     65,                0.91152,                0.46468,                0.99621,                0.88565,                0.81543,                0.89646,                0.53626,                 1.4622,                0.69204,                 1.3879,               0.003664,               0.003664,               0.003664
                     66,                0.89028,                0.45301,                0.99268,                0.87865,                0.82318,                0.89839,                0.53376,                 1.4717,                0.69713,                 1.3861,               0.003565,               0.003565,               0.003565
                     67,                0.87723,                0.45173,                0.98293,                0.87947,                0.82436,                0.89601,                 0.5363,                 1.4687,                0.69144,                 1.3904,               0.003466,               0.003466,               0.003466
