                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3254,                0.84121,                 1.1156,                0.82588,                0.78187,                0.85583,                0.48765,                 1.4747,                0.87774,                 1.2115,               0.006634,               0.006634,               0.006634
                     36,                 1.3208,                0.84041,                 1.1129,                0.83664,                 0.7762,                0.86321,                0.50509,                 1.4244,                0.84545,                 1.1838,               0.006535,               0.006535,               0.006535
                     37,                  1.303,                0.82291,                  1.111,                0.85513,                0.75307,                0.85851,                 0.4915,                 1.4768,                0.85605,                 1.2041,               0.006436,               0.006436,               0.006436
                     38,                 1.3092,                0.83485,                  1.111,                0.84554,                0.75472,                0.85241,                 0.4847,                 1.4862,                0.87185,                 1.2151,               0.006337,               0.006337,               0.006337
                     39,                 1.3096,                0.82601,                 1.1086,                 0.8471,                0.77361,                0.86254,                0.49133,                 1.4898,                0.84106,                 1.2089,               0.006238,               0.006238,               0.006238
                     40,                 1.2948,                0.80999,                 1.1045,                0.87088,                0.76794,                0.87127,                0.49915,                  1.471,                0.85005,                 1.1921,               0.006139,               0.006139,               0.006139
                     41,                 1.2949,                0.80023,                 1.1049,                  0.855,                0.76841,                0.86683,                0.49888,                 1.4693,                 0.8313,                 1.2061,                0.00604,                0.00604,                0.00604
                     42,                 1.2759,                0.79698,                 1.1022,                0.86361,                0.77172,                0.86938,                 0.4999,                 1.4707,                0.82575,                 1.2002,               0.005941,               0.005941,               0.005941
                     43,                 1.2874,                0.79391,                 1.1047,                0.85469,                0.75539,                0.85881,                0.49085,                 1.4869,                0.86034,                 1.2179,               0.005842,               0.005842,               0.005842
                     44,                  1.281,                0.79413,                 1.1018,                0.85378,                  0.767,                0.86649,                0.49337,                 1.4871,                0.82227,                  1.218,               0.005743,               0.005743,               0.005743
                     45,                 1.2733,                0.78118,                 1.0976,                 0.8574,                0.75799,                0.85788,                0.48056,                 1.5193,                0.84277,                 1.2289,               0.005644,               0.005644,               0.005644
                     46,                 1.2814,                 0.7747,                 1.0943,                0.84806,                0.77871,                0.86763,                0.50318,                 1.4623,                0.80926,                 1.2055,               0.005545,               0.005545,               0.005545
                     47,                 1.2637,                0.77593,                 1.0899,                0.84587,                0.77865,                0.86672,                0.49431,                 1.4911,                0.82132,                 1.2325,               0.005446,               0.005446,               0.005446
                     48,                 1.2673,                0.77235,                 1.0886,                0.84599,                0.78872,                0.87365,                0.50669,                 1.4593,                0.79783,                 1.2068,               0.005347,               0.005347,               0.005347
                     49,                 1.2532,                0.76095,                 1.0843,                0.84797,                0.79399,                0.87202,                0.49954,                  1.482,                0.80408,                 1.2183,               0.005248,               0.005248,               0.005248
                     50,                 1.2446,                0.75657,                 1.0826,                0.85334,                0.77243,                0.86621,                0.49603,                 1.4914,                0.80919,                 1.2213,               0.005149,               0.005149,               0.005149
                     51,                 1.2517,                0.75223,                 1.0807,                0.84805,                0.77474,                0.86021,                0.49177,                 1.4936,                0.81656,                 1.2267,                0.00505,                0.00505,                0.00505
                     52,                 1.2495,                  0.745,                 1.0833,                0.85539,                0.79175,                0.87604,                0.50795,                 1.4655,                0.78517,                 1.2046,               0.004951,               0.004951,               0.004951
                     53,                 1.2382,                0.74051,                 1.0798,                 0.8674,                0.77573,                0.87066,                0.49791,                 1.4863,                0.80673,                  1.216,               0.004852,               0.004852,               0.004852
                     54,                 1.2389,                0.74475,                  1.077,                0.85203,                0.78707,                0.87242,                0.50455,                 1.4728,                 0.7883,                 1.2056,               0.004753,               0.004753,               0.004753
